1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,WISHFUL THINKER,S de Sousa,R Gibson,125,1189,4,-,2 2 1,1:10.06,1.8,
2,4,GUNNISON,Z Purton,J Size,119,991,3,1-1/4,1 1 2,1:10.23,2.5,
3,3,JOLLY BANNER,C Wong,P F Yiu,114,1056,1,2-3/4,3 3 3,1:10.45,11,
4,1,WINNER'S WAY,K Teetan,A S Cruz,133,1128,2,2-3/4,4 4 4,1:10.46,5.8,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,WISHFUL THINKER,S de Sousa,R Gibson,125,1189,4,-,2 2 1,1:10.06,1.8,
2,4,GUNNISON,Z Purton,J Size,119,991,3,1-1/4,1 1 2,1:10.23,2.5,
3,3,JOLLY BANNER,C Wong,P F Yiu,114,1056,1,2-3/4,3 3 3,1:10.45,11,
4,1,WINNER'S WAY,K Teetan,A S Cruz,133,1128,2,2-3/4,4 4 4,1:10.46,5.8,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,WISHFUL THINKER,S de Sousa,R Gibson,125,1189,4,-,2 2 1,1:10.06,1.8,
2,4,GUNNISON,Z Purton,J Size,119,991,3,1-1/4,1 1 2,1:10.23,2.5,
3,3,JOLLY BANNER,C Wong,P F Yiu,114,1056,1,2-3/4,3 3 3,1:10.45,11,
4,1,WINNER'S WAY,K Teetan,A S Cruz,133,1128,2,2-3/4,4 4 4,1:10.46,5.8,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,WISHFUL THINKER,S de Sousa,R Gibson,125,1189,4,-,2 2 1,1:10.06,1.8,
2,4,GUNNISON,Z Purton,J Size,119,991,3,1-1/4,1 1 2,1:10.23,2.5,
3,3,JOLLY BANNER,C Wong,P F Yiu,114,1056,1,2-3/4,3 3 3,1:10.45,11,
4,1,WINNER'S WAY,K Teetan,A S Cruz,133,1128,2,2-3/4,4 4 4,1:10.46,5.8,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,WISHFUL THINKER,S de Sousa,R Gibson,125,1189,4,-,2 2 1,1:10.06,1.8,
2,4,GUNNISON,Z Purton,J Size,119,991,3,1-1/4,1 1 2,1:10.23,2.5,
3,3,JOLLY BANNER,C Wong,P F Yiu,114,1056,1,2-3/4,3 3 3,1:10.45,11,
4,1,WINNER'S WAY,K Teetan,A S Cruz,133,1128,2,2-3/4,4 4 4,1:10.46,5.8,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,WISHFUL THINKER,S de Sousa,R Gibson,125,1189,4,-,2 2 1,1:10.06,1.8,
2,4,GUNNISON,Z Purton,J Size,119,991,3,1-1/4,1 1 2,1:10.23,2.5,
3,3,JOLLY BANNER,C Wong,P F Yiu,114,1056,1,2-3/4,3 3 3,1:10.45,11,
4,1,WINNER'S WAY,K Teetan,A S Cruz,133,1128,2,2-3/4,4 4 4,1:10.46,5.8,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,WISHFUL THINKER,S de Sousa,R Gibson,125,1189,4,-,2 2 1,1:10.06,1.8,
2,4,GUNNISON,Z Purton,J Size,119,991,3,1-1/4,1 1 2,1:10.23,2.5,
3,3,JOLLY BANNER,C Wong,P F Yiu,114,1056,1,2-3/4,3 3 3,1:10.45,11,
4,1,WINNER'S WAY,K Teetan,A S Cruz,133,1128,2,2-3/4,4 4 4,1:10.46,5.8,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,WISHFUL THINKER,S de Sousa,R Gibson,125,1189,4,-,2 2 1,1:10.06,1.8,
2,4,GUNNISON,Z Purton,J Size,119,991,3,1-1/4,1 1 2,1:10.23,2.5,
3,3,JOLLY BANNER,C Wong,P F Yiu,114,1056,1,2-3/4,3 3 3,1:10.45,11,
4,1,WINNER'S WAY,K Teetan,A S Cruz,133,1128,2,2-3/4,4 4 4,1:10.46,5.8,
9
